iter	Passed	Remaining
632	19188	132378
633	19220	132357
634	19269	132460
635	19302	132446
636	19334	132426
637	19366	132409
638	19397	132385
639	19429	132361
640	19458	132322
641	19486	132276
642	19515	132236
643	19543	132188
644	19571	132144
645	19598	132095
646	19626	132046
647	19654	132000
648	19682	131957
649	19709	131901
650	19737	131856
651	19764	131804
652	19793	131763
653	19820	131714
654	19849	131670
655	19876	131623
656	19908	131600
657	19951	131655
658	19991	131692
659	20023	131669
660	20055	131647
661	20085	131618
662	20113	131570
663	20143	131540
664	20180	131555
665	20217	131566
666	20249	131548
667	20301	131657
668	20331	131624
669	20359	131579
670	20389	131544
671	20421	131526
672	20449	131478
673	20478	131440
674	20507	131397
675	20535	131354
676	20562	131305
677	20590	131256
678	20617	131205
679	20644	131155
680	20672	131107
681	20700	131064
682	20771	131288
683	20814	131335
684	20843	131295
685	20870	131245
686	20899	131205
687	20927	131160
688	20955	131114
689	20983	131072
690	21013	131035
691	21041	130994
692	21069	130946
693	21098	130906
694	21127	130867
695	21154	130816
696	21181	130763
697	21212	130738
698	21240	130695
699	21270	130660
700	21316	130724
701	21346	130696
702	21376	130660
703	21405	130621
704	21433	130577
705	21462	130536
706	21490	130494
707	21518	130448
708	21546	130404
709	21574	130357
710	21602	130311
711	21631	130273
712	21660	130233
713	21691	130207
714	21721	130175
715	21753	130157
716	21782	130120
717	21811	130077
718	21839	130035
719	21868	129996
720	21896	129953
721	21925	129910
722	21953	129868
723	21983	129833
724	22012	129796
725	22041	129757
726	22069	129714
727	22097	129669
728	22126	129633
729	22154	129590
730	22183	129548
731	22211	129508
732	22238	129458
733	22267	129417
734	22295	129372
735	22341	129437
736	22370	129396
737	22399	129358
738	22428	129323
739	22459	129292
740	22486	129246
741	22516	129212
742	22545	129173
743	22574	129137
744	22611	129142
745	22640	129103
746	22667	129056
747	22694	129008
748	22722	128961
749	22751	128923
750	22783	128902
751	22811	128859
752	22838	128813
753	22867	128776
754	22899	128752
755	22928	128713
756	22955	128668
757	22983	128624
758	23013	128589
759	23041	128548
760	23070	128507
761	23097	128461
762	23126	128422
763	23156	128389
764	23187	128364
765	23217	128334
766	23247	128302
767	23277	128267
768	23306	128233
769	23357	128312
770	23393	128314
771	23424	128291
772	23453	128253
773	23485	128227
774	23513	128184
775	23541	128141
776	23568	128095
777	23595	128048
778	23623	128005
779	23651	127961
780	23681	127928
781	23709	127888
782	23738	127850
783	23766	127807
784	23794	127760
785	23822	127718
786	23853	127694
787	23882	127658
788	23911	127619
789	23939	127574
790	23967	127533
791	23995	127489
792	24022	127443
793	24050	127401
794	24078	127358
795	24107	127322
796	24135	127279
797	24162	127233
798	24190	127191
799	24218	127148
800	24246	127105
801	24274	127062
802	24302	127020
803	24329	126971
804	24359	126939
805	24409	127013
806	24437	126974
807	24465	126930
808	24493	126887
809	24521	126845
810	24548	126800
811	24577	126761
812	24607	126728
813	24636	126691
814	24664	126650
815	24692	126609
816	24721	126571
817	24750	126534
818	24777	126489
819	24806	126455
820	24839	126434
821	24870	126410
822	24902	126388
823	24933	126363
824	24963	126329
825	24992	126292
826	25021	126258
827	25050	126218
828	25077	126174
829	25105	126132
830	25132	126087
831	25160	126046
832	25189	126006
833	25217	125964
834	25244	125922
835	25272	125877
836	25300	125838
837	25330	125804
838	25360	125773
839	25389	125738
840	25443	125824
841	25471	125786
842	25500	125747
843	25528	125704
844	25557	125669
845	25585	125627
846	25612	125583
847	25640	125542
848	25669	125507
849	25699	125472
850	25728	125440
851	25759	125412
852	25790	125383
853	25818	125346
854	25850	125323
855	25879	125286
856	25931	125359
857	25960	125322
858	25988	125282
859	26017	125245
860	26050	125228
861	26080	125197
862	26112	125176
863	26142	125146
864	26173	125117
865	26203	125089
866	26234	125059
867	26265	125033
868	26294	124999
869	26326	124972
870	26357	124947
871	26389	124926
872	26418	124891
873	26474	124980
874	26503	124946
875	26533	124911
876	26562	124879
877	26593	124847
878	26621	124811
879	26651	124775
880	26679	124735
881	26708	124698
882	26738	124666
883	26765	124622
884	26794	124584
885	26821	124539
886	26849	124500
887	26878	124463
888	26907	124426
889	26934	124384
890	26963	124346
891	26991	124308
892	27020	124269
893	27049	124231
894	27076	124189
895	27105	124152
896	27132	124108
897	27159	124064
898	27187	124022
899	27215	123983
900	27243	123939
901	27271	123899
902	27299	123860
903	27327	123818
904	27355	123781
905	27390	123769
906	27420	123740
907	27450	123708
908	27506	123792
909	27537	123765
910	27567	123736
911	27596	123701
912	27625	123664
913	27656	123638
914	27686	123605
915	27715	123568
916	27743	123529
917	27773	123496
918	27804	123469
919	27833	123434
920	27862	123401
921	27894	123375
922	27924	123345
923	27953	123308
924	27984	123283
925	28014	123250
926	28049	123240
927	28077	123200
928	28104	123156
929	28135	123131
930	28181	123170
931	28216	123161
932	28252	123154
933	28284	123132
934	28316	123107
935	28345	123074
936	28377	123047
937	28409	123025
938	28439	122997
939	28468	122958
940	28519	123018
941	28548	122983
942	28577	122945
943	28604	122902
944	28633	122865
945	28662	122829
946	28690	122789
947	28717	122746
948	28745	122706
949	28773	122665
950	28801	122626
951	28829	122584
952	28856	122541
953	28887	122516
954	28916	122477
955	28945	122441
956	28972	122399
957	29000	122360
958	29028	122319
959	29057	122283
960	29084	122238
961	29111	122194
962	29139	122156
963	29167	122118
964	29197	122085
965	29225	122047
966	29259	122029
967	29292	122010
968	29324	121987
969	29353	121955
970	29384	121925
971	29413	121888
972	29440	121848
973	29468	121808
974	29501	121786
975	29555	121856
976	29586	121828
977	29616	121797
978	29644	121759
979	29676	121735
980	29710	121718
981	29741	121689
982	29769	121652
983	29813	121676
984	29852	121681
985	29885	121662
986	29917	121638
987	29952	121628
988	29984	121605
989	30017	121584
990	30048	121559
991	30078	121527
992	30106	121487
993	30136	121456
994	30165	121419
995	30192	121377
996	30225	121355
997	30259	121340
998	30293	121325
999	30326	121305
1000	30359	121285
1001	30394	121276
1002	30428	121260
1003	30462	121243
1004	30494	121220
1005	30523	121183
1006	30550	121138
1007	30610	121227
1008	30641	121198
1009	30672	121171
1010	30703	121142
1011	30738	121130
1012	30769	121102
1013	30802	121085
1014	30834	121061
1015	30865	121030
1016	30902	121027
