iter	Passed	Remaining
580	13007	98934
581	13028	98899
582	13050	98872
583	13071	98843
584	13092	98808
585	13127	98885
586	13151	98873
587	13173	98842
588	13194	98814
589	13215	98783
590	13237	98754
591	13246	98635
592	13269	98613
593	13290	98582
594	13312	98555
595	13336	98545
596	13365	98570
597	13391	98577
598	13412	98544
599	13433	98514
600	13455	98483
601	13475	98448
602	13496	98418
603	13518	98390
604	13540	98361
605	13562	98339
606	13584	98315
607	13606	98288
608	13627	98256
609	13649	98229
610	13671	98203
611	13692	98174
612	13714	98146
613	13735	98115
614	13756	98083
615	13777	98052
616	13799	98028
617	13821	98001
618	13842	97971
619	13863	97938
620	13885	97911
621	13906	97882
622	13927	97852
623	13949	97825
624	13971	97797
625	13992	97765
626	14013	97733
627	14034	97702
628	14056	97683
629	14078	97654
630	14100	97627
631	14121	97601
632	14161	97699
633	14183	97673
634	14204	97642
635	14225	97609
636	14246	97577
637	14268	97553
638	14289	97524
639	14312	97502
640	14334	97477
641	14355	97445
642	14376	97413
643	14397	97383
644	14418	97350
645	14439	97320
646	14460	97288
647	14481	97259
648	14502	97230
649	14524	97202
650	14546	97174
651	14570	97167
652	14591	97138
653	14613	97110
654	14635	97084
655	14656	97057
656	14678	97030
657	14699	97001
658	14722	96979
659	14743	96952
660	14764	96921
661	14786	96893
662	14807	96865
663	14828	96832
664	14850	96808
665	14871	96778
666	14893	96749
667	14914	96717
668	14934	96686
669	14955	96655
670	14977	96627
671	14999	96601
672	15020	96571
673	15041	96543
674	15064	96521
675	15085	96491
676	15106	96465
677	15128	96437
678	15149	96409
679	15185	96472
680	15209	96459
681	15232	96442
682	15253	96412
683	15275	96387
684	15297	96361
685	15319	96335
686	15340	96308
687	15361	96276
688	15383	96250
689	15404	96222
690	15425	96194
691	15447	96167
692	15469	96140
693	15490	96111
694	15511	96082
695	15532	96048
696	15560	96064
697	15583	96046
698	15604	96018
699	15626	95990
700	15648	95968
701	15669	95938
702	15691	95911
703	15712	95884
704	15734	95857
705	15755	95826
706	15776	95798
707	15798	95770
708	15819	95743
709	15841	95715
710	15862	95686
711	15884	95665
712	15907	95643
713	15928	95617
714	15950	95589
715	15971	95559
716	15993	95536
717	16014	95507
718	16036	95480
719	16057	95450
720	16077	95419
721	16099	95393
722	16122	95373
723	16143	95343
724	16164	95317
725	16205	95404
726	16229	95390
727	16250	95358
728	16271	95332
729	16293	95306
730	16314	95277
731	16336	95252
732	16358	95225
733	16379	95197
734	16400	95168
735	16422	95142
736	16444	95117
737	16464	95085
738	16485	95054
739	16507	95028
740	16528	94998
741	16554	94996
742	16575	94971
743	16597	94943
744	16618	94915
745	16640	94889
746	16660	94856
747	16682	94829
748	16704	94807
749	16725	94778
750	16747	94751
751	16768	94725
752	16789	94695
753	16810	94664
754	16832	94638
755	16853	94610
756	16874	94580
757	16895	94553
758	16917	94530
759	16938	94500
760	16961	94478
761	16982	94450
762	17003	94419
763	17025	94396
764	17046	94369
765	17067	94338
766	17088	94311
767	17109	94283
768	17131	94258
769	17153	94234
770	17175	94206
771	17196	94179
772	17239	94272
773	17261	94246
774	17282	94216
775	17303	94189
776	17326	94167
777	17347	94139
778	17368	94112
779	17390	94085
780	17412	94062
781	17433	94033
782	17454	94002
783	17475	93973
784	17496	93944
785	17517	93916
786	17541	93904
787	17563	93878
788	17584	93849
789	17605	93821
790	17628	93802
791	17650	93780
792	17672	93756
793	17693	93728
794	17715	93701
795	17736	93672
796	17758	93651
797	17782	93634
798	17806	93621
799	17830	93608
800	17851	93580
801	17873	93556
802	17894	93527
803	17916	93502
804	17937	93476
805	17959	93452
806	17981	93426
807	18002	93398
808	18024	93373
809	18045	93346
810	18066	93316
811	18087	93286
812	18108	93259
813	18129	93232
814	18152	93213
815	18174	93188
816	18195	93157
817	18217	93134
818	18257	93205
819	18280	93186
820	18301	93157
821	18322	93130
822	18343	93099
823	18365	93073
824	18386	93045
825	18407	93017
826	18428	92989
827	18449	92958
828	18470	92930
829	18491	92903
830	18512	92874
831	18552	92939
832	18578	92938
833	18600	92912
834	18621	92884
835	18642	92857
836	18664	92830
837	18685	92803
838	18706	92775
839	18726	92743
840	18748	92717
841	18770	92693
842	18791	92662
843	18813	92639
844	18834	92611
845	18855	92585
846	18876	92554
847	18897	92525
848	18918	92499
849	18939	92470
850	18961	92446
851	18982	92416
852	19003	92389
853	19024	92360
854	19045	92329
855	19067	92305
856	19087	92274
857	19108	92248
858	19130	92221
859	19151	92192
860	19172	92166
861	19193	92139
862	19215	92113
863	19236	92087
864	19257	92059
865	19304	92155
866	19326	92129
867	19348	92106
868	19370	92081
869	19391	92052
870	19412	92026
871	19434	91999
872	19454	91969
873	19476	91944
874	19496	91914
875	19518	91889
876	19541	91869
877	19562	91841
878	19584	91815
879	19606	91793
880	19627	91764
881	19648	91738
882	19669	91710
883	19691	91684
884	19712	91655
885	19732	91624
886	19754	91599
887	19775	91571
888	19796	91544
889	19817	91518
890	19839	91492
891	19860	91467
892	19882	91439
893	19903	91413
894	19925	91387
895	19945	91358
896	19967	91333
897	19988	91304
898	20009	91278
899	20031	91253
900	20052	91224
901	20073	91199
902	20094	91169
903	20116	91145
904	20137	91120
905	20158	91092
906	20181	91072
907	20203	91047
908	20223	91018
909	20244	90990
910	20265	90962
911	20309	91037
912	20332	91019
913	20353	90991
914	20374	90962
915	20396	90937
916	20418	90913
917	20438	90883
918	20459	90856
919	20481	90828
920	20501	90799
921	20524	90781
922	20545	90752
923	20567	90726
924	20588	90698
925	20608	90669
926	20630	90645
927	20651	90616
928	20672	90590
929	20693	90562
930	20714	90533
931	20735	90506
932	20756	90477
933	20777	90450
934	20798	90421
935	20819	90395
936	20840	90367
937	20861	90339
938	20882	90314
939	20903	90286
940	20926	90265
941	20947	90238
942	20968	90209
943	20989	90184
944	21011	90158
945	21032	90131
946	21054	90108
947	21075	90080
948	21096	90055
949	21118	90031
950	21139	90002
951	21160	89976
952	21181	89950
953	21203	89926
954	21224	89899
955	21245	89870
956	21266	89845
957	21288	89819
958	21309	89793
959	21357	89880
960	21378	89851
961	21399	89825
962	21420	89796
963	21442	89773
964	21463	89745
965	21484	89717
966	21506	89696
967	21529	89678
968	21551	89651
969	21572	89625
970	21596	89611
971	21625	89616
972	21652	89615
973	21677	89604
974	21700	89582
975	21722	89559
976	21744	89537
977	21767	89517
978	21788	89491
979	21811	89469
980	21832	89443
981	21853	89415
982	21873	89387
983	21894	89359
984	21916	89332
985	21936	89304
986	21958	89280
987	22008	89372
988	22030	89346
989	22051	89320
990	22072	89291
991	22093	89265
992	22114	89236
993	22135	89211
994	22157	89185
995	22177	89156
996	22198	89129
997	22219	89101
998	22240	89075
999	22262	89050
1000	22283	89021
1001	22304	88996
1002	22326	88970
1003	22368	89027
1004	22391	89009
1005	22412	88981
1006	22434	88957
1007	22455	88929
1008	22476	88905
1009	22500	88888
1010	22524	88872
1011	22547	88851
1012	22568	88825
1013	22589	88798
1014	22611	88773
1015	22632	88746
1016	22653	88718
1017	22674	88694
1018	22696	88668
1019	22717	88641
1020	22738	88616
1021	22760	88590
1022	22813	88690
1023	22851	88729
1024	22874	88707
1025	22895	88680
1026	22915	88650
1027	22936	88624
1028	22958	88599
