iter	Passed	Remaining
1752	51534	168950
1753	51559	168907
1754	51585	168866
1755	51612	168827
1756	51638	168788
1757	51664	168748
1758	51691	168708
1759	51717	168668
1760	51743	168630
1761	51775	168608
1762	51802	168571
1763	51828	168530
1764	51854	168490
1765	51881	168451
1766	51907	168412
1767	51935	168379
1768	51963	168345
1769	51992	168315
1770	52020	168281
1771	52050	168252
1772	52075	168211
1773	52104	168178
1774	52130	168140
1775	52158	168105
1776	52190	168083
1777	52219	168053
1778	52250	168028
1779	52279	167998
1780	52304	167955
1781	52366	168030
1782	52418	168075
1783	52448	168047
1784	52477	168014
1785	52508	167992
1786	52538	167965
1787	52568	167935
1788	52597	167904
1789	52624	167867
1790	52651	167831
1791	52677	167791
1792	52709	167769
1793	52740	167745
1794	52772	167724
1795	52801	167696
1796	52837	167686
1797	52866	167656
1798	52897	167630
1799	52925	167596
1800	52952	167560
1801	52979	167523
1802	53005	167483
1803	53037	167461
1804	53067	167435
1805	53096	167404
1806	53125	167374
1807	53153	167340
1808	53182	167309
1809	53211	167277
1810	53240	167246
1811	53268	167213
1812	53294	167175
1813	53322	167139
1814	53349	167104
1815	53384	167089
1816	53466	167225
1817	53495	167194
1818	53526	167172
1819	53556	167142
1820	53585	167112
1821	53612	167076
1822	53638	167034
1823	53664	166996
1824	53691	166959
1825	53718	166922
1826	53746	166886
1827	53772	166848
1828	53800	166812
1829	53826	166772
1830	53853	166736
1831	53884	166711
1832	53911	166676
1833	53943	166655
1834	53977	166640
1835	54009	166616
1836	54038	166587
1837	54069	166561
1838	54098	166532
1839	54128	166503
1840	54156	166469
1841	54182	166430
1842	54209	166393
1843	54235	166353
1844	54260	166311
1845	54286	166271
1846	54317	166246
1847	54347	166218
1848	54380	166200
1849	54413	166182
1850	54472	166241
1851	54531	166302
1852	54561	166275
1853	54588	166238
1854	54613	166197
1855	54643	166167
1856	54673	166141
1857	54702	166110
1858	54732	166080
1859	54763	166057
1860	54794	166031
1861	54824	166005
1862	54855	165978
1863	54884	165947
1864	54911	165912
1865	54939	165877
1866	54968	165846
1867	54997	165818
1868	55026	165787
1869	55058	165763
1870	55088	165736
1871	55122	165719
1872	55151	165690
1873	55181	165662
1874	55207	165623
1875	55235	165587
1876	55261	165550
1877	55288	165511
1878	55315	165474
1879	55341	165437
1880	55368	165398
1881	55394	165358
1882	55423	165329
1883	55452	165296
1884	55480	165262
1885	55560	165384
1886	55587	165347
1887	55616	165317
1888	55644	165283
1889	55673	165251
1890	55699	165212
1891	55725	165174
1892	55759	165159
1893	55790	165132
1894	55818	165098
1895	55845	165062
1896	55873	165027
1897	55899	164987
1898	55925	164950
1899	55952	164913
1900	55979	164874
1901	56010	164849
1902	56039	164821
1903	56070	164795
1904	56096	164757
1905	56123	164719
1906	56152	164687
1907	56179	164650
1908	56205	164611
1909	56234	164580
1910	56264	164554
1911	56295	164527
1912	56324	164497
1913	56352	164463
1914	56379	164428
1915	56405	164389
1916	56432	164352
1917	56461	164320
1918	56487	164283
1919	56521	164265
1920	56593	164360
1921	56623	164333
1922	56651	164299
1923	56678	164261
1924	56705	164226
1925	56732	164188
1926	56759	164152
1927	56788	164120
1928	56817	164090
1929	56845	164056
1930	56875	164029
1931	56909	164011
1932	56942	163993
1933	56971	163963
1934	57005	163945
1935	57033	163913
1936	57061	163878
1937	57088	163842
1938	57118	163814
1939	57147	163783
1940	57174	163745
1941	57202	163714
1942	57230	163680
1943	57260	163651
1944	57289	163620
1945	57317	163588
1946	57345	163555
1947	57373	163521
1948	57401	163486
1949	57430	163455
1950	57459	163424
1951	57491	163401
1952	57520	163372
1953	57550	163344
1954	57578	163311
1955	57657	163422
1956	57708	163453
1957	57737	163422
1958	57765	163389
1959	57792	163352
1960	57822	163322
1961	57848	163285
1962	57881	163265
1963	57912	163239
1964	57939	163204
1965	57967	163171
1966	57994	163132
1967	58022	163099
1968	58050	163067
1969	58078	163031
1970	58105	162995
1971	58135	162968
1972	58163	162933
1973	58190	162897
1974	58220	162870
1975	58251	162845
1976	58281	162816
1977	58308	162781
1978	58338	162751
1979	58366	162720
1980	58396	162690
1981	58426	162661
1982	58455	162630
1983	58483	162599
1984	58512	162568
1985	58541	162535
1986	58569	162501
1987	58599	162474
1988	58627	162440
1989	58703	162542
1990	58736	162522
1991	58765	162489
1992	58792	162453
1993	58820	162420
1994	58847	162384
1995	58874	162346
1996	58904	162320
1997	58937	162299
1998	58968	162275
1999	59000	162250
2000	59029	162220
2001	59058	162188
2002	59084	162150
2003	59110	162112
2004	59142	162087
2005	59170	162055
2006	59197	162017
2007	59225	161985
2008	59256	161959
2009	59284	161925
2010	59312	161893
2011	59341	161861
2012	59368	161826
2013	59398	161796
2014	59428	161769
2015	59457	161739
2016	59488	161712
2017	59516	161679
2018	59545	161648
2019	59573	161615
2020	59604	161588
2021	59637	161569
2022	59665	161537
2023	59693	161503
2024	59778	161623
2025	59809	161596
2026	59839	161568
2027	59870	161544
2028	59901	161518
2029	59932	161492
2030	59961	161462
2031	59991	161433
2032	60021	161404
2033	60049	161371
2034	60075	161334
2035	60104	161301
2036	60131	161266
2037	60158	161230
2038	60189	161204
2039	60220	161178
2040	60247	161142
2041	60279	161118
2042	60309	161092
2043	60345	161078
2044	60373	161046
2045	60403	161017
2046	60433	160988
2047	60463	160961
2048	60493	160932
2049	60520	160897
2050	60548	160861
2051	60575	160827
2052	60603	160791
2053	60631	160758
2054	60658	160722
2055	60688	160694
2056	60716	160662
2057	60744	160627
2058	60821	160723
2059	60853	160699
2060	60880	160664
2061	60909	160632
2062	60935	160594
2063	60962	160557
2064	60990	160525
2065	61018	160490
2066	61047	160459
2067	61073	160422
2068	61100	160385
2069	61127	160347
2070	61155	160314
2071	61183	160282
2072	61210	160245
2073	61238	160213
2074	61272	160194
2075	61299	160159
2076	61327	160124
2077	61354	160087
2078	61380	160050
2079	61408	160016
2080	61436	159981
2081	61462	159943
2082	61489	159907
2083	61515	159869
2084	61543	159837
2085	61572	159805
2086	61602	159775
2087	61631	159747
2088	61662	159719
2089	61691	159690
2090	61722	159664
2091	61754	159640
2092	61782	159606
2093	61810	159573
2094	61890	159674
2095	61921	159649
2096	61948	159613
2097	61975	159577
2098	62005	159548
2099	62034	159516
2100	62061	159480
2101	62089	159447
2102	62115	159409
2103	62143	159376
2104	62172	159344
2105	62198	159306
2106	62225	159268
2107	62253	159236
2108	62280	159201
2109	62309	159170
2110	62342	159148
2111	62369	159112
2112	62394	159073
2113	62422	159038
2114	62449	159002
2115	62477	158968
2116	62502	158929
2117	62529	158891
2118	62561	158868
2119	62600	158863
2120	62633	158841
2121	62666	158822
2122	62699	158800
2123	62734	158784
2124	62765	158759
2125	62797	158736
2126	62826	158705
2127	62856	158676
2128	62884	158644
2129	62969	158753
2130	63000	158727
2131	63029	158697
2132	63056	158660
2133	63085	158630
2134	63111	158592
2135	63139	158557
2136	63164	158516
2137	63193	158487
2138	63221	158453
2139	63250	158421
2140	63280	158394
2141	63310	158365
2142	63338	158332
2143	63367	158300
2144	63395	158265
2145	63421	158228
2146	63448	158192
2147	63481	158170
2148	63507	158133
2149	63535	158101
2150	63567	158075
2151	63596	158045
2152	63626	158016
2153	63655	157986
2154	63685	157958
2155	63715	157928
2156	63745	157900
2157	63773	157868
2158	63802	157837
2159	63830	157803
2160	63858	157770
2161	63891	157747
2162	63928	157738
2163	63962	157718
2164	64058	157851
2165	64093	157836
2166	64126	157816
2167	64157	157788
2168	64189	157766
2169	64218	157735
