type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,273,2,53.2625505,50.5385925
Светлое время суток,786,2,53.184388999999996,50.0970285
Светлое время суток,1299,2,53.193407,50.1203905
Светлое время суток,276,3,53.25122833333333,50.237322666666664
Светлое время суток,788,3,53.22547633333333,50.211122333333336
Светлое время суток,790,2,53.5432195,49.321171500000005
Светлое время суток,785,2,53.296123,50.286345
Светлое время суток,792,3,53.233249666666666,50.23548733333333
Светлое время суток,1303,2,53.189611,50.1365375
Светлое время суток,280,2,53.377281,51.377456
Светлое время суток,795,2,53.221884,50.273095999999995
Светлое время суток,284,2,53.420575,50.327543
Светлое время суток,1305,2,53.201733000000004,50.225083
Светлое время суток,289,2,53.184192499999995,48.807516
Светлое время суток,803,2,53.188616499999995,48.368282
Светлое время суток,291,2,53.3017145,50.335955999999996
Светлое время суток,296,2,53.3591665,50.206151000000006
Светлое время суток,297,3,53.218434333333335,50.264144
Светлое время суток,1322,2,53.209402,50.173266999999996
Светлое время суток,811,3,53.537184333333336,49.28799566666667
Светлое время суток,814,2,53.2317095,50.1821835
Светлое время суток,308,2,53.540642000000005,49.360172
Светлое время суток,1334,2,53.0924285,50.152136999999996
Светлое время суток,825,2,53.1268275,50.090190500000006
Светлое время суток,317,2,53.1192785,50.416447500000004
Светлое время суток,832,2,53.2751255,50.264772
Светлое время суток,833,2,53.5529705,49.2925475
Светлое время суток,834,2,53.187507,50.1187225
Светлое время суток,1346,5,53.2359088,50.2417072
Светлое время суток,324,2,53.4784435,49.350108000000006
Светлое время суток,1349,2,53.260905,50.215367
Светлое время суток,836,2,53.247354,50.2418455
Светлое время суток,323,2,53.0787165,49.9283605
Светлое время суток,840,2,53.149600500000005,48.462521
Светлое время суток,835,2,53.400111499999994,49.504204
Светлое время суток,842,2,53.5123215,49.4515835
Светлое время суток,843,2,53.212509499999996,50.214699
Светлое время суток,845,2,53.197922500000004,50.127334000000005
Светлое время суток,1358,3,53.515380666666665,49.272913333333335
Светлое время суток,333,2,53.2528135,50.257556
Светлое время суток,1363,2,53.1635095,48.440097
Светлое время суток,341,2,53.210042,48.282272500000005
Светлое время суток,1366,2,53.230834,50.251787500000006
Светлое время суток,344,3,53.578344333333334,49.29422533333334
Светлое время суток,856,2,53.322551000000004,50.298529
Светлое время суток,346,2,53.344713999999996,48.636044999999996
Светлое время суток,859,2,53.3561685,50.209228499999995
Светлое время суток,347,2,53.215526999999994,48.583051999999995
Светлое время суток,272,2,53.5150735,49.877993000000004
Светлое время суток,1374,2,53.229133000000004,50.290939
Светлое время суток,1378,2,53.203658,50.1269035
Светлое время суток,355,2,53.208246,50.1714105
Светлое время суток,868,3,53.207231666666665,50.176717000000004
Светлое время суток,866,2,53.254789,50.232048500000005
Светлое время суток,360,2,53.237758,50.203584000000006
Светлое время суток,872,2,53.2201635,50.1569685
Светлое время суток,1387,2,53.523008000000004,49.322482
Светлое время суток,876,2,53.2019565,50.135951
Светлое время суток,1388,2,53.206797,50.170494500000004
Светлое время суток,878,5,53.5161026,49.4073866
Светлое время суток,1389,2,53.5083925,49.2879545
Светлое время суток,875,2,53.46473,49.5352775
Светлое время суток,1394,2,53.1976685,50.134305499999996
Светлое время суток,1396,2,53.5424685,49.3283945
Светлое время суток,885,4,53.248428,50.24814875
Светлое время суток,886,3,53.23652666666667,50.307418
Светлое время суток,887,2,53.499059,49.29839
Светлое время суток,376,2,53.518446,49.424937
Светлое время суток,378,5,53.1217332,50.0877494
Светлое время суток,892,2,53.251455,50.2071825
Светлое время суток,897,2,53.5198865,49.2801535
Светлое время суток,899,3,53.22386066666667,50.253278333333334
Светлое время суток,388,2,53.198792999999995,50.256212500000004
Светлое время суток,902,2,53.208608999999996,50.2391925
Светлое время суток,391,2,53.117168500000005,50.123034000000004
Светлое время суток,904,3,53.213124,50.18908733333333
Светлое время суток,1417,3,53.13589833333334,50.104658666666666
Светлое время суток,390,2,53.052081,50.402322999999996
Светлое время суток,908,2,53.1530755,48.453044500000004
Светлое время суток,910,3,53.15736066666667,48.44152166666667
Светлое время суток,1423,2,53.238898000000006,50.204789000000005
Светлое время суток,398,2,53.5782065,49.4027535
Светлое время суток,912,3,53.228776333333336,50.274625666666665
Светлое время суток,914,2,53.253114,50.29388
Светлое время суток,401,2,53.341008,50.302738
Светлое время суток,406,2,53.5543155,49.2754135
Светлое время суток,920,2,53.2346905,50.2201065
Светлое время суток,1432,2,53.187028,50.1778615
Светлое время суток,1436,2,53.38229,50.166357500000004
Светлое время суток,928,2,53.244682,50.2013225
Светлое время суток,417,2,53.90437,51.213203500000006
Светлое время суток,932,2,53.120756,48.3996195
Светлое время суток,933,3,53.21543366666667,50.244913333333336
Светлое время суток,422,3,53.22482333333333,50.17192166666667
Светлое время суток,935,2,53.5270055,49.4201845
Светлое время суток,423,3,53.236504,50.323636666666665
Светлое время суток,937,2,53.222095499999995,50.190263
Светлое время суток,426,2,53.536725000000004,49.292315
Светлое время суток,939,2,53.2183475,50.241188
Светлое время суток,429,4,53.24624125,50.250428
Светлое время суток,941,2,53.271765,50.2736205
Светлое время суток,943,3,53.240751,50.23518033333333
Светлое время суток,1453,2,53.539272499999996,49.3305605
Светлое время суток,1458,2,53.212063,50.2023875
Светлое время суток,946,2,53.243961999999996,50.191021000000006
Светлое время суток,949,3,53.525883666666665,49.312103666666665
Светлое время суток,437,2,53.329997,50.231509
Светлое время суток,439,2,53.187937500000004,50.101479
Светлое время суток,952,2,53.213073,50.239819
Светлое время суток,1465,2,53.147894,48.455702
Светлое время суток,1470,2,53.304425,50.2893755
Светлое время суток,446,4,53.244274000000004,50.23214375
Светлое время суток,960,2,53.2537125,50.202244
