type,labels,number_of_crashes,center_lat,center_lng
Ясно,893,2,53.518776,49.302933499999995
Ясно,894,2,53.1925845,50.12230649999999
Ясно,1407,2,53.513687000000004,49.272512000000006
Ясно,896,3,53.51829333333333,49.312093
Ясно,897,4,53.206738,50.121336
Ясно,1412,3,53.357124666666664,50.20819133333333
Ясно,901,2,53.3060115,50.31221549999999
Ясно,905,2,53.476357,49.4737495
Ясно,907,3,53.240493,50.23552166666666
Ясно,396,2,53.349558,50.226684
Ясно,910,2,53.5432195,49.321171500000005
Ясно,398,3,53.25994133333334,50.291444
Ясно,1428,2,53.217359,50.208057499999995
Ясно,917,2,53.539395999999996,49.339035
Ясно,918,2,53.12675,48.403509
Ясно,920,3,53.52417533333333,49.32156766666667
Ясно,1433,2,53.530879,49.276637
Ясно,924,3,53.208623333333335,50.239185
Ясно,1437,2,53.1503315,48.462213000000006
Ясно,927,2,53.5136775,49.2937445
Ясно,931,2,53.520247,49.4298555
Ясно,933,2,53.5416275,49.393319500000004
Ясно,1445,2,53.206709000000004,50.1277295
Ясно,935,2,53.2184955,50.2412545
Ясно,936,2,53.2537125,50.202244
Ясно,938,3,53.542208333333335,49.330652
Ясно,427,2,53.192099999999996,48.501885
Ясно,429,2,53.2128945,48.555886
Ясно,431,4,53.2363595,50.323293
Ясно,943,2,53.200157000000004,50.118999
Ясно,944,2,53.271765,50.2736205
Ясно,435,2,53.2030635,50.142309999999995
Ясно,436,2,53.26442,50.218830499999996
Ясно,1459,2,53.346346999999994,50.216183
Ясно,950,2,53.269515,50.2224335
Ясно,440,4,53.515648999999996,49.272945
Ясно,953,2,53.253423,50.227137
Ясно,1464,2,53.206375,50.1952085
Ясно,445,2,53.165631000000005,48.433124
Ясно,959,2,53.191514,50.184882
Ясно,449,2,53.225958,50.2771325
Ясно,452,2,53.51511,49.440364
Ясно,455,2,53.420575,50.327543
Ясно,456,2,53.4784435,49.350108000000006
Ясно,970,2,53.185923,50.086188500000006
Ясно,971,2,53.507768999999996,49.288584
Ясно,461,2,53.291222000000005,50.2240235
Ясно,973,2,53.192093,50.2120325
Ясно,464,2,53.19777,50.1903805
Ясно,976,2,52.8569335,49.6229485
Ясно,978,2,53.483717,49.514578
Ясно,467,2,53.498898,49.402587
Ясно,468,2,53.398174999999995,50.4216245
Ясно,979,2,53.2281975,50.2805945
Ясно,470,2,53.5545075,49.3939615
Ясно,479,2,53.550435500000006,49.318655
Ясно,993,2,53.481786,49.481365499999995
Ясно,996,2,53.2162275,50.223186
Ясно,491,3,53.25512466666667,50.231507666666666
Ясно,1004,2,53.322787,50.310635
Ясно,1005,2,53.5092675,49.303427
Ясно,1007,2,53.2072305,50.1766365
Ясно,1009,3,53.22416066666667,50.273494666666664
Ясно,1013,2,53.218713,50.2598895
Пасмурно,2,2,53.253742,50.2338275
Пасмурно,3,2,53.1823655,48.493089
Пасмурно,515,2,53.200627999999995,50.18612
Пасмурно,525,2,53.324272,50.30747
Пасмурно,532,2,53.515368,49.3982405
Пасмурно,22,2,53.3727135,51.341187500000004
Пасмурно,537,2,53.482368,49.468537
Пасмурно,25,2,53.236371500000004,50.323301
Пасмурно,540,2,53.1063475,50.079471999999996
Пасмурно,548,2,53.197044000000005,50.190491
Пасмурно,549,2,53.151619,48.4518885
